,Date,Year,Name,Amount,URL,Acquirer,Notes
0,January,2018,Weld North Education,Unknown,https://www.edsurge.com/news/2018-01-04-silver-lake-acquires-majority-stake-in-weld-north-s-digital-curriculum-business,Silver Lake,"KKR sold a majority stake of Weld North Education, part of Weld North"
1,January,2018,Vatterott Educational Centers,Unknown,https://www.insidehighered.com/quicktakes/2018/01/05/education-corporation-buys-vatterott,Education Corporation of America,for-profit college
2,January,2018,Sokikom,Unknown,https://www.linkedin.com/in/snehal-patel-7159776/detail/recent-activity/,Jumpstart World,a subsidiary of NetDragon
3,January,2018,LookUp,Unknown,https://www.edsurge.com/news/2018-01-09-collaborative-writing-tool-boomwriter-raises-4-1-million-acquires-mobile-language-app,Boomwriter Media,
4,January,2018,Council for Adult and Experiential Learning,Unknown,https://www.insidehighered.com/quicktakes/2018/01/09/strada-acquires-adult-learning-group,Strada Education Network,"Strade Education Network, formerly USA Funds"
5,January,2018,Heritage Education Funds,Unknown,https://marketbrief.edweek.org/marketplace-k-12/k-12-dealmaking-wonderschool-frank-esafe-raise-funds/,Knowledge First Financial,Canadian education saving plans management companies
6,January,2018,Infobase Holdings,Unknown,https://marketbrief.edweek.org/marketplace-k-12/k-12-dealmaking-chinese-tutoring-platforms-area9-lyceum-ellevation-boomwriter-raise-funds/,Centre Lane Partners,digital content provider
7,January,2018,Bask,Unknown,https://techcrunch.com/2018/01/25/brainly-bask/,Brainly,
8,January,2018,Out of the Blue Enterprises,Unknown,https://marketbrief.edweek.org/marketplace-k-12/k-12-dealmaking-parentpowered-raises-2-65-million-microsoft-partners-powerschool/,9 Story Media Group,content provider
9,January,2018,Intellitots,Unknown,https://marketbrief.edweek.org/marketplace-k-12/k-12-dealmaking-parentpowered-raises-2-65-million-microsoft-partners-powerschool/,Founding Years,preschools in India
10,January,2018,Kendall College,Unknown,https://www.insidehighered.com/news/2018/01/31/laureate-sells-several-global-assets,National Louis University,"Sold by Laureate Education, which sold off a number of assets, according to IHE"
11,January,2018,Edbacker,Unknown,https://www.edsurge.com/news/2018-01-30-livingtree-acquires-school-fundraising-platform-edbacker,LivingTree,fundraising for schools
12,January,2018,ECS Learning Systems,Financed with $4 million loan,https://www.edsurge.com/news/2018-01-30-texas-test-prep-publisher-acquired-by-asteria-education,Asteria Education,testing
13,January,2018,Advantages School International,Unknown,https://marketbrief.edweek.org/marketplace-k-12/k-12-dealmaking-learnplatform-teachergaming-raise-funds-assist-brainly-make-acquisitions/,ASSIST,
14,February,2018,Zulama,Unknown,https://www.edsurge.com/news/2018-02-07-emc-school-acquires-game-based-learning-startup-zulama,EMC School,curriculum design
15,February,2018,Performance Matters,Unknown,https://marketbrief.edweek.org/marketplace-k-12/k-12-dealmaking-act-invests-in-smart-sparrow-livingtree-peopleadmin-make-acquisitions/,PeopleAdmin,talent management
16,February,2018,New Media Consortium,"$55,000",https://www.insidehighered.com/news/2018/02/06/educause-plans-buy-assets-bankrupt-new-media-consortium,Educause,
17,February,2018,Vericite,Unknown,https://community.canvaslms.com/thread/22074-vericite-is-now-a-part-of-turnitin,TurnItIn,
18,February,2018,Chalkup,Unknown,https://www.chalkup.co/microsoft,Microsoft,
19,February,2018,Lightsail Education,Unknown,https://www.edsurge.com/news/2018-02-26-after-layoffs-and-acquisition-lightsail-education-charts-a-new-uncertain-course,Agile Investment,
20,February,2018,Discovery Education,$120 million for majority stake,https://www.edsurge.com/news/2018-02-27-discovery-education-to-find-a-new-owner-in-sf-private-equity-firm,Francisco Partners,sold by Discovery Communications
21,March,2018,Wuhan Haoxiaozi Robot Technology,Unknown,https://marketbrief.edweek.org/marketplace-k-12/k-12-dealmaking-tarena-acquires-chinese-robotics-education-company-classwallet-raises-funds/,Tarena International,
22,March,2018,Kids' Adventures,Unknown,https://marketbrief.edweek.org/marketplace-k-12/k-12-dealmaking-springboard-asteria-education-make-acquisitions/,Springboard Education,
23,March,2018,Cobb Pediatric Therapy Services,Unknown,https://marketbrief.edweek.org/marketplace-k-12/k-12-dealmaking-springboard-asteria-education-make-acquisitions/,The Stepping Stones Group,
24,March,2018,MyON,Unknown,https://marketbrief.edweek.org/marketplace-k-12/renaissance-acquires-myon-create-merged-lineup-reading-assessment-products/,Renaissance Learning,
25,April,2018,Steve Spangler Science,Unknown,https://marketbrief.edweek.org/marketplace-k-12/k-12-dealmaking-new-mountain-learning-raises-funds-really-good-stuff-acquires-steve-spangler-science/,Really Good Stuff,
26,April,2018,Cognition Education Group,Unknown,https://marketbrief.edweek.org/marketplace-k-12/k-12-dealmaking-new-mountain-learning-raises-funds-really-good-stuff-acquires-steve-spangler-science/,Corwin Publishing,
27,April,2018,Edmodo,$137.5 million (only $15 million of this cash),https://blog.edmodo.com/2018/04/08/edmodo-is-joining-the-netdragon-family/,NetDragon,
28,April,2018,Bloc,Unknown,https://www.edsurge.com/news/2018-04-10-online-coding-bootcamp-thinkful-acquires-leading-competitor-bloc,Thinkful,
29,April,2018,Acclaim,Unknown,https://www.edsurge.com/news/2018-04-12-new-york-startup-credly-acquires-pearson-s-badging-business,Credly,acquired from Pearson
30,April,2018,Chalk & Wire,Unknown,https://www.edsurge.com/news/2018-04-06-higher-ed-data-provider-campus-labs-acquires-chalk-wire,Campus Labs,
31,April,2018,Embibe,$180 million (strategic investment),https://www.crunchbase.com/organization/embibe,Reliance,
32,April,2018,General Assembly,$412 million,https://www.edsurge.com/news/2018-04-15-general-assembly-to-be-acquired-by-swiss-hr-firm-for-412-5-million,Adecco Group,
33,April,2018,Progress Testing,Unknown,https://marketbrief.edweek.org/marketplace-k-12/k-12-dealmaking-edmentum-connexeo-booknook-raise-funds-key-data-systems-acquires-progress-testing/,Key Data Systems,
34,April,2018,adult education materials of HMH,Unknown,https://marketbrief.edweek.org/marketplace-k-12/k-12-dealmaking-edmentum-connexeo-booknook-raise-funds-key-data-systems-acquires-progress-testing/,Paxen Publishing,
35,April,2018,Economic Modelling LLC,Unknown,https://www.insidehighered.com/quicktakes/2018/04/25/strada-buys-labor-market-data-firm,Strada Education Network,
36,April,2018,BVirtual,Unknown,https://marketbrief.edweek.org/marketplace-k-12/k-12-dealmaking-ebix-buys-stake-smartclass-newschools-unveils-latest-cohort/,Examity,
37,April,2018,Conceptua Math,Unknown,https://marketbrief.edweek.org/marketplace-k-12/k-12-dealmaking-activate-learning-acquires-conceptua-math-knowbox-enuma-allovue-raise-funds/,Activate Learning,
38,May,2018,Penn Foster,Unknown,https://www.edsurge.com/news/2018-05-02-bain-capital-to-buy-penn-foster-a-workforce-skills-provider-that-dates-back-to-late-1800s,Bain Capital,
39,May,2018,Base Capital,Unknown,https://www.edsurge.com/news/2018-05-08-income-share-agreement-company-lumni-acquires-two-companies-that-also-provide-income-share-agreements,Lumni,
40,May,2018,Paytronage,Unknown,https://www.edsurge.com/news/2018-05-08-income-share-agreement-company-lumni-acquires-two-companies-that-also-provide-income-share-agreements,Lumni,
41,May,2018,Renaissance Learning,Unknown,https://www.edsurge.com/news/2018-05-04-private-equity-firm-buys-renaissance-learning-and-buys-back-myon,Francisco Partners,
42,May,2018,MyON,Unknown,https://www.edsurge.com/news/2018-05-04-private-equity-firm-buys-renaissance-learning-and-buys-back-myon,Francisco Partners,
43,May,2018,MissionU,Unknown,https://www.edsurge.com/news/2018-05-17-the-brief-life-of-a-college-alternative-missionu-will-cease-operations-after-sale-to-wework,WeWork,
44,May,2018,WriteLab,$15 million,https://www.edsurge.com/news/2018-05-16-chegg-cuts-15-million-check-to-buy-ai-feedback-tool-writelab,Chegg,
45,May,2018,Pythonroom,Unknown,https://www.edsurge.com/news/2018-05-15-tynker-acquires-pythonroom-to-expand-coding-offerings-to-older-learners,Tynker,
46,May,2018,Cohuborate,Unknown,https://www.edsurge.com/news/2018-05-14-interactive-classroom-hardware-provider-boxlight-acquires-cohuburate-to-expands-to-uk,Boxlight,
47,May,2018,Prologic Technology Systems,Unknown,https://www.edsurge.com/news/2018-05-23-frontline-education-s-12th-acquisition-prologic-a-k-12-payroll-and-benefits-platform,Frontline Education,
48,May,2018,Rapt Media,Unknown,https://techcrunch.com/2018/05/25/kaltura-acquires-rapt-media/,Kaltura,
49,June,2018,GitHub,$7.5 billion,https://www.nytimes.com/2018/06/04/technology/microsoft-github-cloud-computing.html,Microsoft,
50,June,2018,Evan-Moor Corporation,Unknown,https://www.edsurge.com/news/2018-06-05-lincoln-learning-solutions-acquires-evan-moor-provider-of-supplemental-k-12-materials,Lincoln Learning Solutions,
